name,title,expertise_topics
Nadir Akram,Partner,"business,innovation,leadership,technology,education"
Xiubo Geng,Principal Applied Scientist Manager,"AI,education,leadership,technology,science"
James Capretta,Senior Fellow at AEI,"healthcare,wellness,social impact,leadership,innovation"
Smita B. Brunnermeier,Senior Lecturer of Economics and Public and International Affairs,"social impact,lifestyle,business,innovation,wellness"
Andrew Glanzman,Co-CEO of CBRE Investment Management,"leadership,business,innovation,AI,education"
Sri Niwas Singh,"Director, Atal Bihari Vajpayee- Indian Institute of Information Technology and Management (ABV-IIITM), Gwalior, India","education,technology,AI,leadership,arts"
Elise McCrorie,Software Engineer,"education,arts,technology,innovation,AI"
Phanuella Djanteng,Congo Basin Engagement Associate,"education,leadership,arts,technology,social impact"
Nic Gordon,Partner,"business,AI,leadership,innovation,technology"
Nadia Adechoubou,Senior Investment Manager,"leadership,education,business,social impact,AI"
Daniel Burnett,Senior Director of Communications,"education,leadership,social impact,entertainment,arts"
Austin Donnelly,Senior Principal Research Engineer Lead,"technology,leadership,science,AI,innovation"
Youngme Moon,Donald K. David Professor of Business Administration,"business,leadership,innovation,education,AI"
Maura Seale,,"arts,leadership,education,culture,social impact"
Richard Vinograd,Christensen Professor of Asian Art,"arts,culture,wellness,lifestyle,education"
Eric Johnson,"Director, Reporting","healthcare,wellness,leadership,lifestyle,innovation"
Paula Caproni,Lecturer of Management and Organizations,"leadership,education,business,innovation,culture"
Anselm Levskaya,,"AI,technology,science,innovation,education"
Andrew M. Dai,AI Researcher,"AI,innovation,education,technology,leadership"
Aneri Pattani,"Senior Correspondent, KFF Health News","healthcare,wellness,social impact,leadership,entertainment"
Nouha Dziri,Research Scientist,"AI,technology,innovation,science,education"
Tsutomu Watanabe,Professor of Economics,"culture,AI,science,education,technology"
Shelby Parker,"Managing Consultant, Accounting & Finance, Professional Search","business,leadership,arts,lifestyle,education"
Jennifer Pan,"Sir Robert Ho Tung Professor of Chinese Studies, Professor of Communication, Senior Fellow at the Freeman Spogli Institute for International Studies, and Professor, by courtesy, of Political Science and Sociology","social impact,technology,entertainment,culture,leadership"
Teresa A. Coughlin,Senior Fellow,"healthcare,wellness,social impact,leadership,lifestyle"
Leiyu Shi,Professor of Health Services Research,"healthcare,wellness,leadership,social impact,education"
Patrick Grant,Founder,"innovation,lifestyle,business,wellness,social impact"
Fabiana Melo,Deputy Division Chief,"leadership,education,business,AI,healthcare"
Maria Camila Guevara,"MD, MSc, DTMH","healthcare,wellness,leadership,culture,education"
Ruth L. Okediji,"Jeremiah Smith, Jr. Professor of Law","innovation,technology,education,AI,leadership"
JIANG Guoqing,Professor and Economist,"business,leadership,education,AI,social impact"
Shaun Harper,Provost Professor in the Rossier School of Education,"education,leadership,social impact,science,sports"
Frederike Kaltheuner,Expert and Founder,"AI,innovation,technology,leadership,education"
Karen Chen,Research Associate,"healthcare,wellness,social impact,lifestyle,business"
Erhan Bilal,Research Staff Member,"AI,wellness,technology,healthcare,science"
J.P. Park,June and Simon Li Associate Professor in the History of Chinese Art and Fellow of Lincoln College,"arts,culture,entertainment,business,lifestyle"
Robert H. Topel,Isadore Brown and Gladys J. Brown Distinguished Service Professor of Economics Emeritus,"healthcare,wellness,social impact,innovation,leadership"
Mike Andrews,Account Manager,"leadership,business,innovation,lifestyle,entertainment"
Konstantin Othmer,,"AI,innovation,business,technology,arts"
Joshua Tenenbaum,Professor of Computational Cognitive Science,"AI,technology,science,education,leadership"
Margaret Callahan,"Chief, Division of Hematology/Oncology; Clinical Accelerator Investigator; Associate Attending","healthcare,leadership,wellness,science,arts"
Yagmur Gizem Cinar,Postdoctoral Researcher,"AI,education,science,technology,innovation"
Christina Baum,,"healthcare,wellness,leadership,social impact,culture"
Lulu Guo,Postdoctoral Research Fellow,"healthcare,wellness,social impact,science,lifestyle"
Robert H. Hayes,,"leadership,business,innovation,education,technology"
Yixin Xu,,"education,culture,arts,leadership,technology"
Frank Nagle,Assistant Professor of Business Administration,"innovation,business,leadership,technology,AI"
Ron Wong,Vice President of Lending,"business,innovation,leadership,social impact,education"
Ryosuke Torii,Managing Director & Senior Partner,"business,leadership,innovation,social impact,technology"
Dave West,"SVP and President of Asia Pacific, Japan, and Greater China","leadership,business,innovation,technology,AI"
Beth Leary,,"wellness,lifestyle,healthcare,social impact,technology"
Jacob Gunter,Lead Analyst,"leadership,business,innovation,education,AI"
Jessica Ventura,Graduate Student Researcher,"wellness,lifestyle,healthcare,education,social impact"
Parsa Bonderson,Senior Researcher,"technology,science,innovation,AI,leadership"
Charlie Hewitt,Research Scientist,"AI,technology,arts,education,science"
Robert Swider,"Associate Commissioner, Regional Director (Capital Region)","healthcare,wellness,social impact,leadership,education"
Ned Foley,Crane Fellow in Law and Public Policy 2024-25,"leadership,sports,education,social impact,science"
Aswin Chandrakantan,President and Chief Commercial Officer,"AI,healthcare,leadership,innovation,wellness"
Lars P. Hansen,,"AI,innovation,business,social impact,science"
Kunal Jain,Research Fellow,"AI,technology,education,leadership,innovation"
Harm van Vijfeyken,Senior Client Partner,"leadership,innovation,business,AI,technology"
Nico Simko,Co-Founder & CEO,"innovation,leadership,wellness,business,technology"
Brad Armstrong,Actuary,"healthcare,social impact,lifestyle,AI,business"
GAO Fan,"Associate Professor, Deputy Director of the Department of Economics at Fudan University","education,leadership,culture,wellness,innovation"
Winston Jose Chang,"Vice President, Investment Staff, Technology","innovation,technology,business,AI,healthcare"
Kathleen Schmeler,"Professor, Department of Gynecologic Oncology and Reproductive Medicine","healthcare,wellness,leadership,lifestyle,education"
Matei Zaharia,"Associate Professor, Computer Science","AI,technology,education,innovation,science"
Luoping Zhang,Adjunct Professor Emerita,"science,wellness,technology,healthcare,social impact"
Ari Kang,Clinical Assistant Professor,"education,entertainment,business,arts,wellness"
Fabrizio Zilibotti,Professor at Yale University,"social impact,education,lifestyle,technology,innovation"
Penilla Gunther,Founder,"healthcare,wellness,innovation,leadership,lifestyle"
Hilary Wething,Economist,"healthcare,social impact,education,wellness,innovation"
Chia-Hsuan Fu,Predoctoral Fellow (GS),"science,wellness,arts,education,technology"
Yara Abdou,"Assistant Professor, Hematology and Oncology","wellness,healthcare,AI,leadership,arts"
Eric Duchon,"Managing Director, Global Head of Sustainability","leadership,lifestyle,business,innovation,social impact"
Hailey Davis,Managing Director,"healthcare,leadership,wellness,business,innovation"
Ashish Patil,,"education,leadership,culture,arts,innovation"
Chao-Yeh Chen,Researcher at Google,"AI,arts,technology,science,sports"
John Flannery,Professor of Optometry and Vision Science,"science,technology,wellness,innovation,healthcare"
Yanping Huang,Principal Engineer,"AI,education,arts,leadership,technology"
Patrice Simms,Visiting Professor of Law,"social impact,lifestyle,leadership,science,education"
Michelle LaLonde,,"education,arts,science,culture,sports"
Anshuman Saha,"SVP, Product","leadership,innovation,business,AI,technology"
Jill Burgos,Chapter Relations Manager,"leadership,social impact,wellness,business,healthcare"
Alan Guarino,"Vice Chairman, CEO and Board Services","leadership,business,innovation,AI,education"
Bert Jan Offrein,,"technology,AI,innovation,science,arts"
Atri Chatterjee,,"culture,science,business,AI,technology"
Dan Spaulding,Chief People Officer,"leadership,business,lifestyle,education,wellness"
Gordon Thomson,"Senior Vice President, Service Provider, EMEA","leadership,technology,business,innovation,education"
Edward Boyden,Y. Eva Tan Professor in Neurotechnology,"AI,science,arts,technology,innovation"
Jennie Ayap,Executive Assistant,"leadership,business,education,AI,social impact"
Xavier Gabaix,Professor at Harvard University,"business,AI,social impact,innovation,education"
Marilyn Cochran-Smith,Professor Emerita,"education,social impact,leadership,science,arts"
Michael Mcneil,Senior Vice President & Global Chief Information Security Officer,"healthcare,leadership,AI,wellness,business"
KARSTEN KALLEVIG,"Managing Director, Global Strategic Capital","leadership,business,innovation,AI,technology"
Jay Hoffmann,Proposal and Impact Manager,"social impact,leadership,innovation,technology,business"
Sakinah Ummu Haniy,Communications Coordinator,"education,leadership,entertainment,technology,culture"
Aimee van Wynsberghe,Alexander von Humboldt Professor for Applied Ethics of Artificial Intelligence,"AI,technology,innovation,healthcare,leadership"
Donald Ratliff,"Regents' Professor Emeritus; Executive Director, Panama Logistics Innovation and Research Center","leadership,innovation,business,technology,education"
Ellie Filler,"Senior Client Partner, Managing Partner, EMEA Human Resources Practice","leadership,innovation,business,arts,education"
H. Ashley Chi,"Managing Consultant, Legal Center of Expertise","leadership,business,AI,innovation,arts"
Annalisa Pawlosky,,"science,technology,innovation,AI,education"
Martín Abadi,Computer Scientist,"AI,technology,education,science,innovation"
Hee Oh,,"leadership,science,education,arts,culture"
Barry R. Weingast,Ward C. Krebs Family Professor and Senior Fellow at the Hoover Institution,"social impact,leadership,education,science,innovation"
Patrick Anderson,,"technology,AI,science,leadership,education"
Nicholas Scrimenti,,"education,culture,arts,leadership,wellness"
Sarah Stapleton,Managing Director,"healthcare,wellness,arts,business,innovation"
Estevan Delgado,"Director for Justice, Equity, Diversity & Inclusion","social impact,leadership,wellness,education,healthcare"
Katy Gero,Postdoctoral Fellow in Computer Science,"AI,technology,arts,science,innovation"
Brant J. Standridge,"Senior Executive Vice President and President, Consumer and Regional Banking","leadership,business,social impact,wellness,education"
Stuart Benjamin,William Van Alstyne Distinguished Professor of Law and Faculty Co-Director,"innovation,technology,education,science,business"
Yariv Houvras,Clinical Associate Professor of Medicine (Courtesy),"science,wellness,lifestyle,healthcare,entertainment"
Hannah Putman,"Managing Director, Research","education,leadership,science,social impact,technology"
Olga Mironenko,Teaching Assistant Professor,"education,AI,technology,innovation,science"
Samuel Moore,Scholarly Communication Specialist,"arts,technology,science,lifestyle,education"
Keith Johnson,Senior Facilities Associate,"technology,leadership,AI,business,healthcare"
Ye Yu,Associate Research Fellow and Assistant Director,"innovation,leadership,education,AI,social impact"
John Chang,Senior Vice President / Chief Intelligence & Analytics Officer,"leadership,AI,innovation,business,education"
You Kyeong Jeong,Research Fellow,"innovation,technology,science,AI,entertainment"
Dong Wang,Assistant Professor of Medicine,"wellness,lifestyle,healthcare,social impact,science"
Byunghang Ha,Postdoctoral Scholar,"innovation,technology,science,education,wellness"
Hitoshi Shigeoka,"Associate Professor at Simon Fraser University, Research Associate at National Bureau of Economic Research (NBER)","healthcare,social impact,wellness,lifestyle,innovation"
Jiho Choi,Research Scientist,"science,innovation,AI,technology,culture"
Vishal Amin,,"innovation,technology,business,healthcare,wellness"
Wang Zheng,Professor Emerita of History and Women's and Gender Studies,"culture,arts,lifestyle,leadership,social impact"
Suresh Sunderrajan,Chief Financial Officer,"innovation,technology,leadership,business,AI"
Julie F. Mead,Professor in the Department of Educational Leadership and Policy Analysis,"education,leadership,innovation,science,social impact"
Pulkit Agrawal,Associate Professor,"AI,science,education,technology,sports"
Akram Erraqabi,PhD Student,"AI,technology,innovation,education,leadership"
Andrey Rybalchenko,Senior Principal Researcher,"AI,leadership,technology,innovation,education"
Alex “Sandy” Pentland,Professor Post Tenure of Media Arts and Sciences,"technology,science,education,social impact,entertainment"
Daniel Rubin,"Professor of Biomedical Data Science and of Radiology (Integrative Biomedical Imaging Informatics at Stanford), Emeritus","science,healthcare,AI,technology,wellness"
Edward Aguila,CEO & Co-Founder,"AI,innovation,technology,leadership,healthcare"
Peter Groeneveld,"Professor of Medicine, Director of the Center for Health Equity Research and Promotion","healthcare,wellness,innovation,AI,leadership"
Freddy Quiram,Consultant I,"healthcare,business,innovation,leadership,lifestyle"
Benjamin Rosenbluth,Instructor,"science,education,technology,innovation,leadership"
Sophia Lu,Ph.D. Candidate,"AI,science,healthcare,lifestyle,leadership"
Sushil Vachani,Professor,"social impact,innovation,business,leadership,education"
Reginald D. Williams II,"Vice President, International Health Policy and Practice Innovations","healthcare,wellness,innovation,leadership,social impact"
Deanna Laufer,Expert in Sociocultural Identity and Trust,"lifestyle,culture,business,social impact,innovation"
Semih Cantürk,PhD Student and ML Engineer,"AI,education,science,technology,leadership"
William C Vanderwagen,Instructor,"education,wellness,healthcare,leadership,social impact"
Caroline M. Elkins,Thomas Henry Carroll/Ford Foundation Professor of Business Administration,"business,social impact,healthcare,education,leadership"
Tomás Moreno,Partner,"business,innovation,leadership,technology,entertainment"
Lauren Shin,"Vice Chairman, Global Consumer Practice and Board & CEO Services","leadership,business,lifestyle,innovation,entertainment"
Robin Queen,L. Preston Wade Professor of Engineering,"sports,science,technology,education,wellness"
Adam Pasick,Author,"AI,technology,arts,innovation,education"
Agostinha Depina,Budget Development & Proposal Risk Associate,"education,leadership,social impact,arts,wellness"
Peli de Halleux,Principal Research Software Engineer,"education,technology,leadership,science,AI"
Nic Sam,Writer,"lifestyle,arts,business,entertainment,AI"
Guillaume Fréchette,Professor in the Economics department,"social impact,education,science,innovation,leadership"
Ruth Spring,Accounting Specialist,"wellness,healthcare,business,leadership,lifestyle"
Pedro Barata,Chief Product Officer,"innovation,business,technology,leadership,AI"
Hannah Richardson (nee Murfet),"Senior Compliance Manager, Compliance & Regulatory, Health Futures","AI,healthcare,technology,innovation,leadership"
Mary Kate Brousseau,Principal,"healthcare,wellness,leadership,social impact,education"
Brandon Stewart,"Associate Professor, Department of Sociology","social impact,technology,culture,lifestyle,science"
Kei-Mu Yi,,"innovation,AI,business,culture,education"
Ray Johnson,Operating Partner at Bessemer Venture Partners,"innovation,AI,business,technology,leadership"
Noah Kevelighan,IT Support Specialist,"healthcare,wellness,technology,AI,leadership"
Eve Hanna,"Director, Market Access","healthcare,wellness,innovation,business,technology"
David Thesmar,Professor and Research Associate,"business,social impact,innovation,technology,education"
Rex Barker,Consulting Actuary,"business,education,social impact,arts,healthcare"
Natalie Cariola,Chief Revenue Officer,"business,leadership,innovation,AI,technology"
Morteza Zadimoghaddam,Research Scientist at Google Research,"AI,innovation,business,technology,education"
Annabel Davis,Public Health Partnership Specialist,"healthcare,wellness,leadership,social impact,lifestyle"
Norman Bartczak,Senior Lecturer in Law,"business,education,leadership,innovation,social impact"
George Selgin,"Senior Fellow and Director Emeritus, Center for Monetary and Financial Alternatives","social impact,business,wellness,innovation,education"
Geir Tungesvik,"Executive Vice President, Projects, Drilling and Procurement","leadership,business,innovation,technology,AI"
Kellie Webster,Researcher,"AI,technology,education,science,social impact"
Neeraj Sharma,Engineering Leader,"leadership,innovation,technology,education,business"
Sloan Davis,Researcher,"education,technology,social impact,innovation,science"
Thomas Tian,PhD Student at UC Berkeley,"AI,education,technology,leadership,innovation"
Till Winfried Baernighausen,Adjunct Professor of Global Health,"healthcare,wellness,social impact,leadership,lifestyle"
Gregory Lane,,"social impact,technology,education,innovation,lifestyle"
Lulu Xu,Principal Healthcare US Growth,"innovation,healthcare,wellness,business,education"
Goran Žužić,,"AI,leadership,technology,education,innovation"
Torrey Creed,Associate Professor of Psychiatry,"healthcare,wellness,AI,technology,education"
Jung Koo Kang,,"business,education,lifestyle,leadership,innovation"
Eric Traupe,"Operating Partner, Lightspeed Venture Partners","innovation,AI,business,leadership,technology"
Mackenzie Russell,Student / Intern,"education,arts,science,innovation,technology"
Selasi Blegen,Senior Manager,"leadership,wellness,healthcare,innovation,business"
Amy Cook,Co-founder and Chief Marketing Officer (CMO),"leadership,business,innovation,lifestyle,entertainment"
Ian Taylor,Technical Associate II,"AI,technology,innovation,science,education"
Dan Hendrycks,Director of the Center for AI Safety,"AI,innovation,leadership,technology,healthcare"
Trenton W. Wilson,Assistant Professor of Chinese Intellectual History,"leadership,culture,arts,innovation,education"
Douglas Moody-Stuart,"SVP, Sourcing Business Unit, HAVI","leadership,business,innovation,wellness,culture"
Kristof Stouthuysen,Full Professor of Management Accounting and AI-Driven Finance,"business,leadership,AI,education,innovation"
Richard Cavanagh,Adjunct Lecturer in Public Policy,"leadership,education,business,social impact,innovation"
Sandeep Kagzi,Managing Director,"leadership,business,education,innovation,technology"
Catherine Knox,,"healthcare,wellness,leadership,AI,education"
John C. Cratsley,Lecturer on Law,"education,leadership,business,social impact,arts"
Jenny Johnson,,"healthcare,wellness,business,leadership,AI"
Shane McNamara,Account Coordinator at Main Street Host,"leadership,business,entertainment,lifestyle,innovation"
Marcel van den Brink,"Former Employee, Non-Stipend Visiting Investigator; Chief Physician Executive","leadership,healthcare,science,technology,business"
Zahra AghahosseinaliShirazi,Research Fellow,"healthcare,science,innovation,wellness,leadership"
Gar Meng Leong,Communications Manager,"leadership,entertainment,technology,social impact,business"
Thomas Kornberg,"Professor, Department of Biochemistry and Biophysics","science,sports,leadership,education,wellness"
Francis Hartmann,Adjunct Lecturer in Public Policy,"leadership,education,social impact,healthcare,AI"
Ying Li,Professor,"AI,education,technology,innovation,science"
Vishal Sharma,Chief Technology Officer,"AI,innovation,leadership,technology,business"
Peter McGarvey,"Director of ICBI, Professor of Biomedical Informatics","AI,science,healthcare,technology,innovation"
Eugenia (Bejar) Lustgarten,Vice President,"AI,education,leadership,innovation,technology"
Mike Spreitzer,Researcher,"technology,leadership,AI,innovation,science"
Aviâja Lyberth Lennert,Deputy CEO,"leadership,business,AI,sports,entertainment"
Fan-Tien Cheng,Chair Professor and Director of Intelligent Manufacturing Research Center (iMRC),"AI,technology,innovation,leadership,education"
Dame Clara Furse DBE,Senior Adviser,"leadership,business,healthcare,education,wellness"
Torben Frenk,Associate Partner,"leadership,innovation,business,AI,technology"
Aurelie Jacquet,AI National Expert Group,"AI,leadership,technology,education,innovation"
Aaron Goldring,,"social impact,business,education,sports,lifestyle"
Kerem Coşar,"Professor of Economics, University of Virginia","innovation,social impact,education,culture,business"
Mooketsi Molefi,Senior Lecturer,"healthcare,lifestyle,education,science,wellness"
Oscar Veldhuis,Senior Principal,"leadership,education,arts,innovation,business"
Carl Shapiro,DISTINGUISHED PROFESSOR,"business,innovation,leadership,AI,wellness"
Idiatou Diallo,Fogarty Fellow,"healthcare,wellness,social impact,lifestyle,leadership"
Sabrina Laverty,Research Specialist II,"social impact,wellness,lifestyle,education,healthcare"
Adam Newman,"Managing Partner, CFA, CFP®, MT, RICP®","lifestyle,business,education,leadership,wellness"
Bruce Tidor,Professor of Biological Engineering and Computer Science,"AI,science,technology,healthcare,sports"
Yasushi Negishi,Research Scientist,"AI,technology,innovation,education,healthcare"
Safiyya Karim,Fashion Revolution South Africa Country Coordinator,"innovation,arts,lifestyle,education,social impact"
Adalsteinn Brown,"Dean, Dalla Lana School of Public Health (DLSPH)","healthcare,leadership,wellness,education,business"
David F. Bacon,Principal Engineer,"AI,technology,leadership,education,science"
Jane Wei,Chief of Staff,"leadership,business,innovation,social impact,wellness"
Kohei Yoshikawa,VP,"leadership,education,innovation,science,wellness"
Maura Pally,"Sr. Managing Director, Charitable Foundation","leadership,wellness,education,social impact,healthcare"
Jennifer Lav,"Director, Disability Practice Area","healthcare,wellness,social impact,lifestyle,business"
David M. Dince,Senior Counsel,"education,leadership,healthcare,wellness,science"
Steven Bennett,Executive Vice President and Chief Administrative Officer,"leadership,education,business,AI,innovation"
Ethan Kross,Professor and Lab Director,"social impact,lifestyle,science,leadership,education"
Amy Loomis,Adjunct Research Advisor,"technology,AI,innovation,arts,education"
Carol L. Martin,Lecturer of Public and International Affairs,"leadership,education,social impact,healthcare,AI"
Anshul Jain,Professor,"social impact,education,entertainment,innovation,technology"
Dario Amodei,CEO and Co-founder,"AI,leadership,innovation,education,technology"
Melanie Wierzbicki,Brand Strategist,"innovation,leadership,business,entertainment,lifestyle"
YANG Liu,Associate Professor with Tenure,"leadership,AI,business,innovation,technology"
Ken Frazier,"Chairman, Health Assurance Initiatives","healthcare,wellness,leadership,innovation,lifestyle"
Mohammad Alqudah,Principal Applied Scientist,"AI,technology,business,innovation,healthcare"
Marco Rossi,Principal Data Scientist,"AI,leadership,technology,education,science"
John Eric Humphries,Assistant Professor of Economics,"education,social impact,science,culture,innovation"
Yvonne Camacho,"Executive Vice President, Finance and Administration (Retired)","leadership,wellness,social impact,healthcare,business"
Chris Parisi,Managing Director at BXCI,"leadership,business,innovation,AI,education"
Freweyni Gemerew,"Maternal, Child and Adolescent Health Senior Program Analyst","wellness,healthcare,social impact,education,lifestyle"
Seraina Frey,Head of AM Technology,"leadership,business,technology,innovation,education"
Mark Fung,Asia Center Fellow at Harvard University,"leadership,business,culture,healthcare,entertainment"
Kristen Lee,,"healthcare,education,wellness,leadership,arts"
Susan Renz,Practice Professor of Nursing,"healthcare,education,leadership,wellness,business"
Sarah Allin,Senior Manager,"healthcare,leadership,wellness,innovation,business"
Shannon Bowen,Professor,"AI,leadership,education,innovation,entertainment"
Kathleen Donohue,Full Professor of Biology,"science,lifestyle,education,social impact,wellness"
Ellen Widmer,"Professor at Wellesley College and Center Associate at Fairbank Center, Harvard University","arts,culture,lifestyle,wellness,education"
Jay Malave,Chief Financial Officer,"leadership,business,innovation,healthcare,technology"
Ryan Ashe,"Director, Health Facilities Management","healthcare,leadership,wellness,lifestyle,innovation"
Spencer Marc Rascoff,Visiting Lecturer on Engineering Sciences,"innovation,business,leadership,education,entertainment"
Deborah Goldstein,Lecturer on Law,"leadership,education,healthcare,business,social impact"
Christian Paquin,Principal Research Software Engineer,"technology,innovation,AI,leadership,science"
Tianlong Chen,,"AI,education,science,arts,technology"
John C. Butler,Clinical Associate Professor,"science,leadership,education,healthcare,sports"
Laila Norford,"PhD Student, Bioinformatics and Integrative Genomics","AI,healthcare,science,technology,wellness"
"Linxi ""Jim"" Fan",Senior Research Scientist Lead of AI Agents,"AI,innovation,arts,education,leadership"
Adam Lavertu,"Head Of Engineering, Biomedical Informatics PhD Student","AI,science,technology,education,healthcare"
Maya Mathur,"Associate Professor (Research) of Pediatrics, of Medicine (Biomedical Informatics), and, by courtesy, of Epidemiology & Population Health","wellness,science,social impact,lifestyle,healthcare"
Lukas Wutschitz,Principal Researcher,"AI,education,technology,science,leadership"
Jeff Luse,"Member, RFF Board of Directors; Principal at Warburg Pincus","leadership,innovation,business,technology,wellness"
Dan Faulkner,Driver Trainer Instructor,"education,sports,AI,technology,science"
Felicia Kihlberg,Project Controller,"leadership,technology,innovation,business,AI"
Danny Arnold Milner,Adjunct Associate Professor of Immunology and Infectious Diseases,"healthcare,wellness,leadership,science,sports"
Andrey Zhmoginov,"Research Scientist, Google Research","science,AI,technology,education,innovation"
Megan Schwarzman,Project Scientist and Associate Director,"wellness,science,lifestyle,healthcare,social impact"
Manya Sleeper,User Experience Researcher,"technology,innovation,lifestyle,AI,education"
Douglas Harold,Research Associate,"technology,innovation,social impact,science,education"
Ming Tak Ted Hui,Associate Professor of Classical Chinese and Medieval China,"culture,arts,technology,education,lifestyle"
Darrell Sumpter,Senior Office Manager / Staff Accountant,"leadership,business,healthcare,wellness,innovation"
Yusuke Hirota,Research Scientist,"AI,technology,leadership,education,social impact"
Sari Palmroth,Research Professor in the Division of Environmental Science and Policy,"science,social impact,technology,lifestyle,education"
J. David Powell,"Professor of Aeronautics and Astronautics and of Mechanical Engineering, Emeritus","AI,leadership,technology,education,science"
Cheng Zheng,Postdoctoral Research Associate,"technology,science,AI,arts,innovation"
Andrea Brant,Licensed Mental Health Counselor,"wellness,healthcare,lifestyle,technology,social impact"
Leonard A. Shabman,Senior Fellow,"leadership,education,science,wellness,healthcare"
Deborah Shaw,Managing Consultant,"leadership,business,innovation,education,technology"
Paul Shaman,Professor Emeritus of Statistics,"leadership,science,education,social impact,wellness"
Qiao Ma,Researcher,"AI,technology,science,innovation,sports"
Maggie Wu,Data Research Analyst,"social impact,technology,education,culture,AI"
Laura Lewandowski,Director at Leavitt Partners,"healthcare,wellness,innovation,leadership,business"
Peter Karoli,Fogarty Fellow in Global Health and Population,"healthcare,wellness,lifestyle,leadership,social impact"
Sara Elder,"Senior Policy Advisor, Standards Workstream","leadership,lifestyle,social impact,wellness,technology"
Keith J. Hand,"Associate Dean for Global Programs, Professor of Law, and Director of the East Asian Legal Studies Program","education,leadership,culture,arts,business"
Romain Ioualalen,Global Policy Campaign Manager,"leadership,AI,technology,social impact,lifestyle"
Henrique Cabral,Urban Mobility Analyst,"social impact,education,innovation,leadership,technology"
Holly Branthoover,Graduate Student,"science,wellness,healthcare,education,leadership"
Mike Shepperd,,"technology,AI,leadership,education,innovation"
Tony Jiang,Vice President for government affairs,"leadership,AI,education,business,healthcare"
Tammy Kolbe,Associate Professor of Educational Leadership & Policy Studies,"education,leadership,technology,social impact,innovation"
Jessica Cheng,Postdoctoral Research Fellow,"wellness,lifestyle,healthcare,social impact,education"
Trent Tolley,Researcher at Google,"AI,technology,innovation,arts,education"
Kelly Howe,Chief Financial Officer,"leadership,business,innovation,education,wellness"
Anne Christine Bischops,Visiting Scientist,"wellness,healthcare,social impact,science,lifestyle"
Emmanuel Letouzé,Director and Co-Founder of Data-Pop Alliance,"AI,innovation,social impact,leadership,education"
Evans Addo,Adjunct Professor of Microeconomics,"education,AI,social impact,innovation,technology"
James Collins,Termeer Professor of Medical Engineering and Science and Professor of Biological Engineering,"innovation,technology,healthcare,science,wellness"
Maura Doyle,Senior Lecturer in Economics,"education,innovation,social impact,leadership,technology"
Darrick Hamilton,Nonresident Senior Fellow – Brookings Metro,"social impact,education,wellness,healthcare,leadership"
Werner Rickinger,,"healthcare,innovation,technology,wellness,AI"
Peter Sudmant,Assistant Professor (Affiliated),"science,lifestyle,AI,leadership,wellness"
Eric Davidson,"Chief Product Officer, Co-Founder","innovation,wellness,technology,business,AI"
Garrick Yu,"Co-Lead, Global Sports and Head of Sports Research and Analytics","sports,entertainment,leadership,arts,AI"
Emily Wilson,,"social impact,innovation,wellness,lifestyle,leadership"
Anuj Baskota,,"science,technology,arts,innovation,education"
Jared Cohen,Co-Head of the Goldman Sachs Global Institute and President of Global Affairs,"leadership,business,education,innovation,AI"
Caoimhe Duffy,"Assistant Professor, Anesthesiology and Critical Care","healthcare,wellness,education,science,leadership"
Kimberlee Fitzgerald,Executive Senior Partner,"business,leadership,innovation,entertainment,lifestyle"
Gurol Tuncman,Senior Research Scientist,"wellness,lifestyle,leadership,healthcare,sports"
David S. Rosner,,"business,lifestyle,social impact,healthcare,wellness"
Sally Goldman,Google Research Scientist,"AI,education,technology,science,sports"
Kate Nowak,Principal Applied Scientist,"AI,technology,innovation,social impact,science"
Hwee Shi Yong,,"social impact,business,education,innovation,technology"
George Giakos,"Chairman and Professor, Electrical and Computer Engineering","AI,innovation,technology,education,science"
H.R. McMaster,"Chair of the Advisory Board, Japan Chair","leadership,education,AI,arts,healthcare"
Mouad El Mansouri,,"education,innovation,social impact,business,AI"
Thomas Sanelli,Executive Vice President – Finance and Chief Administrative Officer,"leadership,business,education,healthcare,AI"
Xiaoming Huo,,"AI,education,science,arts,leadership"
Rudrapatna Kallikote Shyamasundar,Senior Professor and JC Bose National Fellow,"technology,AI,education,leadership,science"
Joshua S. Graff Zivin,Pacific Economic Cooperation Chair in International Economic Relations,"innovation,wellness,healthcare,social impact,AI"
Tommy Guy,"Principal Architect, Insights","AI,leadership,technology,innovation,business"
Lucia Yanguas,Senior Manager,"business,healthcare,leadership,social impact,wellness"
Rose van der Bijl,Senior Consultant,"leadership,business,innovation,education,social impact"
Minhee Kang,Senior Research Scientist,"healthcare,science,technology,leadership,AI"
Andreas Østhagen,Research Director and Research Professor,"leadership,social impact,science,technology,culture"
Katherine B. Hadda,"Visiting Fellow, Chair on India and Emerging Asia Economics","leadership,education,technology,culture,business"
Alice B. Leiter,Counsel,"healthcare,wellness,AI,leadership,business"
Amanda Urke,"PhD Student, Bioinformatics and Integrative Genomics","science,AI,technology,healthcare,lifestyle"
Neil Walker,Managing Director of Macro Modelling and Scenarios,"leadership,business,AI,social impact,technology"
Andrew Ceruzzi,,"science,technology,education,leadership,AI"
Wael Hatoum,Partner,"leadership,business,innovation,technology,wellness"
Judith Nguyen,Web Developer,"technology,innovation,education,leadership,AI"
Salvador Ascencio Pastora,Adjunct Lecturer in Public Policy,"social impact,education,leadership,business,science"
